n,m,k,insert_calls,deletemin_calls,update_calls,heapify_up_calls,heapify_down_calls,insert_heapify_up,deletemin_heapify_up,deletemin_heapify_down,update_heapify_up,update_heapify_down,r_insert,r_deletemin,r_update,i_ratio,d_ratio,u_ratio,log_k_n
8192,8192,2,121,121,0,191,330,191,0,330,0,0,14.692307692307692,25.384615384615383,0.0,0.0147705078125,0.0147705078125,0.0,13.0
8192,16384,2,6568,6568,430,10662,60368,9811,0,60368,851,0,754.6923076923077,4643.692307692308,65.46153846153847,0.8017578125,0.8017578125,0.0262451171875,13.0
8192,16384,2,6568,6568,458,10576,60148,9636,0,60148,940,0,741.2307692307693,4626.7692307692305,72.3076923076923,0.8017578125,0.8017578125,0.0279541015625,13.0
8192,16384,2,1,1,0,1,1,1,0,1,0,0,0.07692307692307693,0.07692307692307693,0.0,0.0001220703125,0.0001220703125,0.0,13.0
8192,16384,2,3,3,0,3,3,3,0,3,0,0,0.23076923076923078,0.23076923076923078,0.0,0.0003662109375,0.0003662109375,0.0,13.0
8192,16384,2,6568,6568,450,10581,60278,9666,0,60278,915,0,743.5384615384615,4636.7692307692305,70.38461538461539,0.8017578125,0.8017578125,0.0274658203125,13.0
8192,16384,2,6568,6568,478,10640,60496,9726,0,60496,914,0,748.1538461538462,4653.538461538462,70.3076923076923,0.8017578125,0.8017578125,0.0291748046875,13.0
8192,16384,2,6568,6568,447,10711,60471,9791,0,60471,920,0,753.1538461538462,4651.615384615385,70.76923076923077,0.8017578125,0.8017578125,0.02728271484375,13.0
8192,16384,2,2,2,0,2,2,2,0,2,0,0,0.15384615384615385,0.15384615384615385,0.0,0.000244140625,0.000244140625,0.0,13.0
8192,16384,2,6568,6568,446,10498,60073,9657,0,60073,841,0,742.8461538461538,4621.0,64.6923076923077,0.8017578125,0.8017578125,0.0272216796875,13.0
8192,16384,2,6568,6568,455,10655,60192,9771,0,60192,884,0,751.6153846153846,4630.153846153846,68.0,0.8017578125,0.8017578125,0.02777099609375,13.0
